hw_pos,mcount,fcount,sim_score
goal_SUBST,531,0,0.2700748
freud_SUBST,399,0,0.37602273
file_SUBST,473,0,0.38495624
present_SUBST,0,302,0.40412724
play_SUBST,0,219,0.42893586
function_SUBST,610,0,0.43173727
jonathan_SUBST,0,259,0.4423677
sick_ADJ,0,299,0.4612901
nil_PRON,504,0,0.47591862
x_SUBST,1006,0,0.48998615
dave_SUBST,0,288,0.49902105
ours_PRON,0,299,0.50597435
favour_SUBST,376,0,0.50903887
christ_SUBST,396,0,0.5115501
fox_SUBST,0,373,0.51641715
geoff_SUBST,0,229,0.52475494
raise_VERB,519,0,0.5269154
charlotte_SUBST,0,326,0.52762187
shopping_SUBST,0,238,0.5401966
ha_INTERJ,916,1055,0.5426799
ball_SUBST,719,0,0.5528306
division_SUBST,423,0,0.5533986
united_ADJ,450,0,0.553977
sales_SUBST,453,0,0.55438226
however_ADV,510,0,0.55517083
jesus_SUBST,644,0,0.56105536
square_VERB,382,0,0.57093424
both_ADV,590,245,0.5717057
y_SUBST,528,0,0.5806243
colleague_SUBST,571,0,0.5833016
jane_SUBST,0,293,0.5857767
heart_SUBST,0,231,0.5876375
martin_SUBST,0,223,0.6012534
record_SUBST,573,204,0.60291386
share_VERB,446,0,0.61015725
positive_ADJ,425,0,0.61549217
purpose_SUBST,388,0,0.61689353
coal_SUBST,433,0,0.61729825
produce_VERB,856,0,0.61782223
apparently_ADV,0,276,0.6178833
current_ADJ,389,0,0.61945343
team_SUBST,700,238,0.61992043
councillor_SUBST,400,0,0.62230134
practice_SUBST,395,0,0.62255454
appear_VERB,469,0,0.62413603
present_ADJ,377,0,0.62595737
planning_SUBST,600,0,0.62632513
almost_ADV,670,255,0.6267121
ourselves_PRON,393,0,0.6268758
engine_SUBST,379,0,0.62697405
trade_SUBST,854,208,0.6281755
love_SUBST,0,501,0.6283243
mine_PRON,653,864,0.62868845
history_SUBST,418,0,0.6299899
due_ADJ,396,0,0.63143724
hey_INTERJ,0,273,0.63369054
dead_ADJ,0,248,0.6343264
neil_SUBST,0,201,0.63775414
client_SUBST,464,200,0.63885444
face_VERB,376,0,0.6390046
pattern_SUBST,372,0,0.642904
district_SUBST,906,0,0.64511883
basically_ADV,785,250,0.64567506
tooth_SUBST,0,203,0.64812905
baby_SUBST,0,729,0.6488205
degree_SUBST,505,0,0.65461
study_SUBST,376,0,0.65561754
sir_SUBST,792,0,0.6564876
power_SUBST,805,205,0.656999
yorkshire_SUBST,566,0,0.6576381
minus_PREP,765,0,0.65903336
product_SUBST,641,0,0.65905946
county_SUBST,1652,371,0.65916777
mm_INTERJ,11023,16254,0.6597301
game_SUBST,956,335,0.66111875
nurse_SUBST,0,217,0.66175205
correct_ADJ,396,0,0.66259515
matter_SUBST,1062,451,0.663252
develop_VERB,474,0,0.66373986
quality_SUBST,639,0,0.6638165
stone_SUBST,0,208,0.6643533
yours_PRON,0,489,0.6670114
material_SUBST,371,0,0.6678918
drink_VERB,0,418,0.6683484
greater_SUBST,508,0,0.6686527
against_PREP,1467,353,0.67016053
test_SUBST,0,205,0.67216617
n_ADV,1445,1868,0.6739229
plus_PREP,891,236,0.6748172
council_SUBST,2532,736,0.67490226
potato_SUBST,0,243,0.6749232
grandma_SUBST,0,219,0.67541325
rule_SUBST,526,0,0.67597985
simply_ADV,617,0,0.67618847
steve_SUBST,0,200,0.6767351
voice_SUBST,0,223,0.6777352
world_SUBST,1412,503,0.67828643
represent_VERB,370,0,0.6785739
start_SUBST,437,0,0.67933196
election_SUBST,431,0,0.6799382
fucking_ADJ,753,0,0.6832158
fancy_VERB,0,236,0.68453324
cook_VERB,0,310,0.68456423
involve_VERB,545,200,0.68628955
lord_SUBST,521,0,0.68778175
sugar_SUBST,0,212,0.68883187
chap_SUBST,419,0,0.68927866
profit_SUBST,386,0,0.69097316
indeed_ADV,1038,214,0.6915866
tim_SUBST,0,288,0.6920339
washing_SUBST,0,258,0.69236064
structure_SUBST,540,0,0.6936953
emma_SUBST,0,253,0.69398665
project_SUBST,693,0,0.69572526
york_SUBST,1219,229,0.6967251
telephone_SUBST,0,232,0.6970411
urgh_INTERJ,0,215,0.69706595
programme_SUBST,829,349,0.69825774
scale_SUBST,371,0,0.6982663
meat_SUBST,0,237,0.7006673
none_PRON,0,244,0.70159334
possibly_ADV,529,0,0.70192206
political_ADJ,381,0,0.70272356
egg_SUBST,0,344,0.70290226
obviously_ADV,1655,687,0.702947
bet_VERB,0,544,0.70342696
key_SUBST,0,257,0.70349336
identify_VERB,376,0,0.7035266
receive_VERB,583,0,0.70534176
public_SUBST,390,0,0.7053963
union_SUBST,1028,304,0.7055364
actual_ADJ,598,220,0.7056459
twice_ADV,0,215,0.7059351
properly_ADV,0,275,0.70664304
factor_SUBST,440,0,0.7067799
tin_SUBST,0,201,0.7067862
brilliant_ADJ,0,272,0.7073291
toilet_SUBST,0,262,0.70762426
football_SUBST,427,0,0.708286
chairman_SUBST,756,0,0.7090526
plan_SUBST,1198,403,0.7091558
wee_ADJ,0,229,0.70982414
rate_SUBST,879,250,0.7098915
although_CONJ,906,341,0.7102421
upon_PREP,399,0,0.71152085
element_SUBST,401,0,0.7123625
change_SUBST,984,337,0.71257895
subject_SUBST,496,0,0.71349937
process_SUBST,557,0,0.71407443
account_SUBST,610,0,0.7146726
bird_SUBST,0,231,0.7151127
care_SUBST,456,0,0.715287
traffic_SUBST,766,0,0.71651375
mad_ADJ,0,204,0.71668327
introduce_VERB,378,0,0.7168228
wedding_SUBST,0,203,0.7185839
labour_ADJ,541,204,0.7191354
financial_ADJ,413,0,0.7201174
interest_SUBST,921,249,0.72019035
no_VERB,656,680,0.7214988
itself_PRON,659,0,0.72153085
draw_VERB,837,293,0.7216033
clearly_ADV,701,0,0.7219915
aha_INTERJ,921,1159,0.72295916
form_SUBST,867,313,0.7229837
pardon_SUBST,435,507,0.72351235
number_SUBST,3861,1168,0.7242779
pressure_SUBST,450,0,0.7243538
create_VERB,407,0,0.72498554
direction_SUBST,369,0,0.7251979
role_SUBST,404,0,0.72522706
answer_SUBST,947,276,0.7267098
law_SUBST,642,0,0.7268142
general_ADJ,1096,279,0.72703254
glad_ADJ,0,225,0.7284791
main_ADJ,732,318,0.7284792
silly_ADJ,0,360,0.7290221
conference_SUBST,481,200,0.729421
right_SUBST,537,208,0.7300224
chris_SUBST,0,285,0.7303688
available_ADJ,561,0,0.7307145
business_SUBST,1393,474,0.7308223
richard_SUBST,0,397,0.73107266
bath_SUBST,0,312,0.7316751
music_SUBST,0,283,0.7319657
scheme_SUBST,593,0,0.7331449
follow_VERB,770,253,0.73345554
local_ADJ,1712,475,0.73414135
wage_SUBST,423,0,0.73430145
congress_SUBST,377,0,0.73437333
george_SUBST,0,229,0.73445696
between_PREP,2147,728,0.7346841
shoe_SUBST,0,325,0.7355585
income_SUBST,527,0,0.73567003
guy_SUBST,574,0,0.73625976
married_ADJ,0,217,0.73823357
blood_SUBST,0,213,0.7382901
i_SUBST,1114,414,0.7383769
forward_ADV,843,251,0.7399355
north_SUBST,893,226,0.7402799
clean_ADJ,0,223,0.74045116
discussion_SUBST,445,0,0.7405369
sing_VERB,0,450,0.74064076
value_SUBST,519,0,0.7407933
ann_SUBST,0,331,0.7416258
ear_SUBST,0,201,0.74254024
though_ADV,1663,1834,0.74292624
tony_SUBST,0,219,0.7433552
slightly_ADV,436,0,0.74404
in_VERB,691,1072,0.7445885
common_ADJ,403,0,0.74497694
margaret_SUBST,0,254,0.7450611
greenbelt_SUBST,390,0,0.7452969
aware_ADJ,451,0,0.7460408
deal_SUBST,514,0,0.74604905
cheese_SUBST,0,240,0.74622774
apply_VERB,469,0,0.746445
detail_SUBST,525,0,0.7470818
carpet_SUBST,0,230,0.74718153
safety_SUBST,402,0,0.74736375
front_ADJ,0,270,0.74741334
issue_SUBST,1111,240,0.74757934
unit_SUBST,455,0,0.74842465
fish_SUBST,0,325,0.74864745
animal_SUBST,0,201,0.74876404
